state,rate
Alabama,1.741418029
Alaska,1.075567537
Arizona,1.028850279
Arkansas,1.192433886
California,2.156942446
Colorado,1.701011697
Connecticut,1.697788844
Delaware,0.929149815
District of Columbia,2.787007962
Florida,1.987831134
Georgia,1.54443973
Hawaii,1.491902094
Idaho,0.976519823
Illinois,1.827245554
Indiana,1.795979716
Iowa,0.601539823
Kansas,0.934357265
Kentucky,1.010575601
Louisiana,1.024490622
Maine,1.609729783
Maryland,1.07886498
Massachusetts,0.815873663
Michigan,1.506177403
Minnesota,1.230054659
Mississippi,1.431198885
Missouri,1.771221373
Montana,2.183989546
Nebraska,1.064138611
Nevada,1.469484236
New Hampshire,1.427706423
New Jersey,1.427762238
New Mexico,1.570271891
New York,3.385066212
North Carolina,1.147947803
North Dakota,1.099176052
Ohio,1.238989499
Oklahoma,1.420951302
Oregon,1.509223222
Pennsylvania,1.15100425
Rhode Island,0.589782035
South Carolina,1.374993167
South Dakota,0.804937493
Tennessee,1.099141327
Texas,0.936956791
Utah,1.526035827
Vermont,2.868672173
Virginia,2.196600839
Washington,2.09476289
West Virginia,0.822332998
Wisconsin,1.833239592
Wyoming,0.462851074
